Applicability,Service,Reporting period,Category of illegal content,"Description of Other

Note: In all cases for the actions reported in this sheet, Discord removed content on the basis that it is inconsistent with its Terms of Service.",Number of measures taken at the provider's own initiative ,Number of measures taken after detection solely using automated means ,"Visibility restriction Content Removal (# of removed messages or user profile attributes such as bio, avatar, username etc.)",Visibility restriction Disable,Visibility restriction Demoted,Visibility restriction Age restricted,Visibility restriction Interaction restricted,Visibility restriction Labelled ,Visibility restriction Other,Monetary restriction Suspension,Monetary restriction Termination,Monetary restriction Other,"Provision of the service Suspension 'limited_access','temp_ban'",Provision of the service Termination ('delete'),"Account restriction Suspension 'limited_access','temp_ban'",Account restriction Termination ('delete'),Contextual Information on Number of measures taken at provider's own intiative,Contextual Information on Visibility restriction Interaction restricted
All,Discord,2024-02-17/2024-12-31,TOTAL,,,,,,,,,,,,,,,,,,"The total number of measures taken include user ""Warnings"", which are assigned to user accounts for less severe violations of Discord's Terms and Conditions. See Discord's summary of [insert title] in the Qualitative portion of this Report.","The actions reported in this column include temporary limitations on a user's ability to join new servers, start new direct messages, or send new friend requests."
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ANIMAL_WELFARE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ANIMAL_HARM,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNLAWFUL_SALE_ANIMALS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_CONSUMER_INFORMATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INSUFFICIENT_INFORMATION_ON_TRADERS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NONCOMPLIANCE_PRICING,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HIDDEN_ADVERTISEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_GOODS_SERVICES,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISLEADING_INFO_CONSUMER_RIGHTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_DATA_PROTECTION_AND_PRIVACY_VIOLATIONS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_BIOMETRIC_DATA_BREACH,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISSING_PROCESSING_GROUND,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RIGHT_TO_BE_FORGOTTEN,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DATA_FALSIFICATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit inactive accounts over a certain period of time, and the creation of an account on behalf of another person and without their permission. ",667,552,0,,,,0,,,,,,0,667,0,667,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_ILLEGAL_OR_HARMFUL_SPEECH,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DEFAMATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DISCRIMINATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HATE_SPEECH,,"77,679","5,990","60,133",,,,"19,795",,,,,,"19,975",531,"19,975",531,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Term of Service that prohibit the denial of human atrocities.,56,13,32,,,,21,,,,,,21,3,21,3,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_INTELLECTUAL_PROPERTY_INFRINGEMENTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_COPYRIGHT_INFRINGEMENT,,"3,372",1,"2,255",,,,120,,,,,,120,27,120,27,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_DESIGN_INFRINGEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GEOGRAPHIC_INDICATIONS_INFRINGEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PATENT_INFRINGEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TRADE_SECRET_INFRINGEMENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TRADEMARK_INFRINGEMENT,,2,0,0,,,,0,,,,,,0,0,0,0,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_NEGATIVE_EFFECTS_ON_CIVIC_DISCOURSE_OR_ELECTIONS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_VIOLATION_EU_LAW,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_VIOLATION_NATIONAL_LAW,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_MISINFORMATION_DISINFORMATION_DISINFORMATION,,3,1,1,,,,1,,,,,,1,0,1,0,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,0,0,0,,,,0,,,,,,0,0,0,0,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_NON_CONSENSUAL_BEHAVIOUR,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NON_CONSENSUAL_IMAGE_SHARING,,"574,214","400,720","13,256",,,,"205,925",,,,,,"205,946","36,478","205,946","36,478",,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NON_CONSENSUAL_ITEMS_DEEPFAKE,,"3,985",41,"3,212",,,,767,,,,,,771,197,771,197,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ONLINE_BULLYING_INTIMIDATION,,"41,555","1,271","31,044",,,,"1,802",,,,,,"1,858",140,"1,858",140,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_STALKING,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit the harassment of Discord servers through raids, sexuual harassment, doxxing, as well as the unsolicited sharing of sexual imagery.","125,142","19,675","45,165",,,,"38,073",,,,,,"38,193","4,750","38,193","4,750",,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_PORNOGRAPHY_OR_SEXUALIZED_CONTENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ADULT_SEXUAL_MATERIAL,,67,11,0,,,,0,,,,,,0,0,0,0,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMAGE_BASED_SEXUAL_ABUSE,,77,0,46,,,,0,,,,,,0,30,0,30,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,,33,0,26,,,,2,,,,,,2,0,2,0,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_PROTECTION_OF_MINORS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS_MINORS,,"277,389",35,"166,336",,,,628,,,,,,667,"127,911",667,"127,911",,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CHILD_SEXUAL_ABUSE_MATERIAL,,"320,581","207,806","68,713",,,,"179,110",,,,,,"179,135","103,781","179,135","103,781",,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GROOMING_SEXUAL_ENTICEMENT_MINORS,,"26,515",571,"9,121",,,,"1,872",,,,,,"1,872","4,082","1,872","4,082",,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_CHALLENGES,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,"These actions are violations of Discord's Terms of Service that prohibit inappropriate sexual conduct with teens, teen self-endangerment, drawn material sexualizing children, admissions of misconduct with children, and admissions of soliciting CSAM.","249,005","24,588","91,639",,,,"129,260",,,,,,"129,566","25,479","129,566","25,479",,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_RISK_FOR_PUBLIC_SECURITY,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_ILLEGAL_ORGANIZATIONS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_ENVIRONMENTAL_DAMAGE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_RISK_PUBLIC_HEALTH,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_TERRORIST_CONTENT,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits the presence or activities of violent extremist organizations and other violent groups and the sharing of malware targeting infrastructure.  ,"41,697","29,876","4,196",,,,"29,730",,,,,,"29,775","8,107","29,775","8,107",,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SCAMS_AND_FRAUD,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_ACCOUNTS,,199,151,0,,,,188,,,,,,189,9,189,9,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_LISTINGS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INAUTHENTIC_USER_REVIEWS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_IMPERSONATION_ACCOUNT_HIJACKING,,"3,957",101,"2,379",,,,113,,,,,,116,127,116,127,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PHISHING,,511,8,141,,,,113,,,,,,118,181,118,181,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PYRAMID_SCHEMES,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibit financial scams and fraud services. These actions also include violations by Applications of the same Discord policy.,"315,217","278,123","9,244",,,,"223,009",,,,,,"223,433","21,201","223,433","21,201",,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SELF_HARM,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_CONTENT_PROMOTING_EATING_DISORDERS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SELF_MUTILATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_SUICIDE,,227,7,111,,,,94,,,,,,95,0,95,0,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibit the encouragement or promotion of self-harm.,"3,475","2,840",253,,,,728,,,,,,730,466,730,466,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_UNSAFE_AND_PROHIBITED_PRODUCTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_PROHIBITED_PRODUCTS,,"3,182",659,"1,606",,,,"1,091",,,,,,"1,100",23,"1,100",23,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_UNSAFE_PRODUCTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits gambling and the promotion of in-person sexual services. ,31,12,12,,,,13,,,,,,13,2,13,2,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_VIOLENCE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_COORDINATED_HARM,,"3,157","2,532",12,,,,"2,682",,,,,,"2,682",460,"2,682",460,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GENDER_BASED_VIOLENCE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_EXPLOITATION,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_HUMAN_TRAFFICKING,,8,0,4,,,,0,,,,,,0,4,0,4,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_INCITEMENT_VIOLENCE_HATRED,,"43,290","19,807","13,231",,,,"26,855",,,,,,"27,170",656,"27,170",656,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits the sharing of material depicting real violence or gore. ,"4,477",834,"2,494",,,,215,,,,,,230,115,230,115,,
All,Discord,2024-02-17/2024-12-31,STATEMENT_CATEGORY_SCOPE_OF_PLATFORM_SERVICE,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_AGE_SPECIFIC_RESTRICTIONS,,"1,095",15,556,,,,48,,,,,,50,4,50,4,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GEOGRAPHICAL_REQUIREMENTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_GOODS_SERVICES_NOT_PERMITTED,,"78,412","70,902",158,,,,"69,058",,,,,,"69,423","8,781","69,423","8,781",,
All,Discord,2024-02-17/2024-12-31,KEYWORD_LANGUAGE_REQUIREMENTS,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_NUDITY,,,,,,,,,,,,,,,,,,,
All,Discord,2024-02-17/2024-12-31,KEYWORD_OTHER,These actions are violations of Discord's Terms of Service that prohibits the abuse of Discord support processes and staff. ,"20,254","18,135","5,816",,,,11,,,,,,11,"14,333",11,"14,333",,